,"phid","phen_name_full","phen_type","phen_name","units","measure","offset","var_type","uz_phen_name","uz_units","uz_measure","f_convert","sensor_id","notes"
"1",1,"Battery level: minimum voltage","Battery level","batt_min_v","v","min","0","num","BattV_Min","Volts","Min",NA,"no_spec",NA
"2",8,"Humidity, relative: maximum","Humidity, relative","humid_rel_max_pcnt","pcnt","max","0","num","RH_Max","%","Max",NA,"no_spec",NA
"3",7,"Humidity, relative: minimum","Humidity, relative","humid_rel_min","pcnt","min","0","num","RH_Min","%","Min",NA,"no_spec",NA
"4",7,"Humidity, relative: percent","Humidity, relative","humid_rel_pcnt","pcnt","smp","0","num","RH","%","Smp",NA,"no_spec",NA
"5",2,"Pressure, atmosphere: sample","Pressure, atmosphere","pressure_atm","kpa","smp","0","num","BP_kPa","kPa","Smp",NA,"no_spec",NA
"6",14,"Rainfall: total","Rainfall","rain_tot","mm","tot","0","num","Rain_mm_Tot","mm","Tot",NA,"no_spec",NA
"7",8,"Solar radiation: average","Solar radiation","solar_rad_avg","w_per_m2","avg","0","num","SlrW_Avg","W/m^2","Avg",NA,"no_spec",NA
"8",9,"Solar radiation: maximum","Solar radiation","solar_rad_max","w_per_m2","max","0","num","SlrW_Max","W/m^2","Max",NA,"no_spec",NA
"9",10,"Solar radiation: standard deviation","Solar radiation","solar_rad_sd","w_per_m2","sd","0","num","SlrW_Std","W/m^2","Std",NA,"no_spec",NA
"10",6,"Temperature, air: average","Temperature, air","temp_air_avg","deg_c","avg","0","num","AirTC_Avg","Deg C","Avg",NA,"no_spec",NA
"11",6,"Temperature, air: maximum","Temperature, air","temp_air_max","deg_c","max","0","num","AirTC_Max","Deg C","Max",NA,"no_spec",NA
"12",5,"Temperature, air: minimum","Temperature, air","temp_air_min","deg_c","min","0","num","AirTC_Min","Deg C","Min",NA,"no_spec",NA
"13",16,"Temperature, ground level: average","Temperature, ground level","temp_ground_avg","deg_c","avg","0","num","T107_C_Avg","Deg C","Avg",NA,"no_spec",NA
"14",15,"Temperature, ground level: minimum","Temperature, ground level","temp_ground_min","deg_c","min","0","num","T107_C_Min","Deg C","Min",NA,"no_spec",NA
"15",9,"UV radiation: average","UV radiation","uv_rad_avg","w_per_m2","avg","0","num","CUV5_W_Avg","W/m^2","Avg",NA,"no_spec",NA
"16",11,"UV radiation: maximum","UV radiation","uv_rad_max","w_per_m2","max","0","num","CUV5_W_Max","W/m^2","Max",NA,"no_spec",NA
"17",12,"UV radiation: standard deviation","UV radiation","uv_rad_sd","w_per_m2","sd","0","num","CUV5_W_Std","W/m^2","Std",NA,"no_spec",NA
"18",13,"UV radiation: total","UV radiation","uv_rad_tot","mj_per_m2","tot","0","num","CUV5_MJ_Tot","MJ/m^2","Tot",NA,"no_spec",NA
"19",2,"Wind direction: sample","Wind direction","wind_dir","deg","smp","0","num","WindDir_D1_WVT","Deg","WVc",NA,"no_spec",NA
"20",3,"Wind direction: standard deviation","Wind direction","wind_dir_sd","deg","sd","0","num","WindDir_SD1_WVT","Deg","WVc",NA,"no_spec",NA
"21",1,"Wind speed: sample","Wind speed","wind_speed","m_per_sec","smp","0","num","WS_ms_S_WVT","meters/second","WVc",NA,"no_spec",NA
"22",17,"Wind speed: average","Wind speed","wind_speed_avg","m_per_sec","avg","0","num","VW_Avg",,"Avg",NA,"no_spec",NA
"23",4,"Wind speed: maximum","Wind speed","wind_speed_max","m_per_sec","max","0","num","WS_ms_Max","meters/second","Max",NA,"no_spec",NA
"24",17,Wind speed: average,Wind speed,wind_speed_avg,m_per_sec,avg,0,num,"VW_Avg","no_spec","Avg",NA,"no_spec",NA
